classifier,candidate_configuration_id,reference_configuration_id,metric,n,df,mean_difference,std_difference,ci95_low,ci95_high,direction_uncertain
decision_tree,BGWO,K43,average_precision,5,4,0.003950826015262782,0.007076919915228412,-0.004836330661647589,0.012737982692173152,True
decision_tree,BGWO,K43,f1,5,4,-0.009287949817341795,0.022395506035942515,-0.03709564338372676,0.018519743749043173,True
decision_tree,BGWO,K43,recall,5,4,0.002666666666666662,0.007958224257542217,-0.0072147738835554075,0.012548107216888732,True
decision_tree,BGWO,K43,precision,5,4,-0.09387993356235627,0.21098943166013656,-0.35585791485622176,0.16809804773150924,True
decision_tree,BGWO,K43,roc_auc,5,4,0.0022170760233918064,0.0034611014933711715,-0.002080449095056469,0.006514601141840081,True
decision_tree,BGWO,K42,average_precision,5,4,0.003950826015262782,0.007076919915228412,-0.004836330661647589,0.012737982692173152,True
decision_tree,BGWO,K42,f1,5,4,-0.009287949817341795,0.022395506035942515,-0.03709564338372676,0.018519743749043173,True
decision_tree,BGWO,K42,recall,5,4,0.002666666666666662,0.007958224257542217,-0.0072147738835554075,0.012548107216888732,True
decision_tree,BGWO,K42,precision,5,4,-0.09387993356235627,0.21098943166013656,-0.35585791485622176,0.16809804773150924,True
decision_tree,BGWO,K42,roc_auc,5,4,0.0022170760233918064,0.0034611014933711715,-0.002080449095056469,0.006514601141840081,True
decision_tree,BGWO,MI-K11,average_precision,5,4,0.0010934825726299114,0.0027263918926908404,-0.0022917800855189316,0.004478745230778755,True
decision_tree,BGWO,MI-K11,f1,5,4,-0.01240403104510864,0.02650225675859625,-0.045310929133410054,0.02050286704319277,True
decision_tree,BGWO,MI-K11,recall,5,4,0.007999999999999997,0.02387467277262664,-0.021644321650666196,0.03764432165066619,True
decision_tree,BGWO,MI-K11,precision,5,4,-0.12196479455620061,0.2710761254259276,-0.4585502602701436,0.21462067115774236,True
decision_tree,BGWO,MI-K11,roc_auc,5,4,0.0002555555555555644,0.001947934749412569,-0.002163124893640098,0.0026742360047512267,True
decision_tree,BGWO,BPSO-K10,average_precision,5,4,0.006423157451436462,0.004118082990753611,0.001309882060202409,0.011536432842670514,False
decision_tree,BGWO,BPSO-K10,f1,5,4,-0.0075414017951723035,0.025264615223410676,-0.03891156494655215,0.023828761356207543,True
decision_tree,BGWO,BPSO-K10,recall,5,4,0.009333333333333338,0.024426761280748343,-0.02099649674168961,0.03966316340835628,True
decision_tree,BGWO,BPSO-K10,precision,5,4,-0.07436927592445237,0.18139975641135977,-0.29960682274337064,0.15086827089446592,True
decision_tree,BGWO,BPSO-K10,roc_auc,5,4,0.00584081871345028,0.0077073796534044,-0.0037291571226701877,0.015410794549570749,True
decision_tree,BPSO-K10,K43,average_precision,5,4,-0.0024723314361736804,0.008663281772410453,-0.013229216519270656,0.008284553646923296,True
decision_tree,BPSO-K10,K43,f1,5,4,-0.0017465480221694918,0.0393978677297803,-0.05066546198823165,0.04717236594389267,True
decision_tree,BPSO-K10,K43,recall,5,4,-0.006666666666666677,0.027487370837451064,-0.040796745440805776,0.027463412107472426,True
decision_tree,BPSO-K10,K43,precision,5,4,-0.01951065763790388,0.3243228856544902,-0.4222107085486412,0.3831893932728334,True
decision_tree,BPSO-K10,K43,roc_auc,5,4,-0.0036237426900584736,0.009459825031100077,-0.015369666860482264,0.008122181480365318,True
decision_tree,BPSO-K10,K42,average_precision,5,4,-0.0024723314361736804,0.008663281772410453,-0.013229216519270656,0.008284553646923296,True
decision_tree,BPSO-K10,K42,f1,5,4,-0.0017465480221694918,0.0393978677297803,-0.05066546198823165,0.04717236594389267,True
decision_tree,BPSO-K10,K42,recall,5,4,-0.006666666666666677,0.027487370837451064,-0.040796745440805776,0.027463412107472426,True
decision_tree,BPSO-K10,K42,precision,5,4,-0.01951065763790388,0.3243228856544902,-0.4222107085486412,0.3831893932728334,True
decision_tree,BPSO-K10,K42,roc_auc,5,4,-0.0036237426900584736,0.009459825031100077,-0.015369666860482264,0.008122181480365318,True
decision_tree,BPSO-K10,MI-K11,average_precision,5,4,-0.0053296748788065505,0.004236763015497641,-0.010590310984071198,-6.903877354190371e-05,False
decision_tree,BPSO-K10,MI-K11,f1,5,4,-0.0048626292499363375,0.003557732535027589,-0.009280137653918316,-0.0004451208459543589,False
decision_tree,BPSO-K10,MI-K11,recall,5,4,-0.001333333333333342,0.014259499757471622,-0.019038840814581195,0.01637217414791451,True
decision_tree,BPSO-K10,MI-K11,precision,5,4,-0.04759551863174825,0.09408254435853287,-0.16441442682114737,0.0692233895576509,True
decision_tree,BPSO-K10,MI-K11,roc_auc,5,4,-0.0055852631578947156,0.008420149537852625,-0.016040259698538402,0.004869733382748972,True
logistic_regression,BGWO,K43,average_precision,5,4,-0.0003396423554591022,0.0030170715306236063,-0.0040858314550399665,0.0034065467441217624,True
logistic_regression,BGWO,K43,f1,5,4,0.0011375774541345584,0.008181160732108136,-0.009020675290442483,0.0112958301987116,True
logistic_regression,BGWO,K43,recall,5,4,0.044666666666666674,0.09570208403628881,-0.07416316563426455,0.16349649896759788,True
logistic_regression,BGWO,K43,precision,5,4,0.00019058333085492096,0.003927074618879948,-0.004685523841668088,0.00506669050337793,True
logistic_regression,BGWO,K43,roc_auc,5,4,-0.0034995906432748634,0.015552174782115626,-0.02281016616400034,0.015810984877450612,True
logistic_regression,BGWO,K42,average_precision,5,4,-0.0003398045151560239,0.00301693940230004,-0.004085829555754372,0.003406220525442325,True
logistic_regression,BGWO,K42,f1,5,4,0.0011375774541345584,0.008181160732108136,-0.009020675290442483,0.0112958301987116,True
logistic_regression,BGWO,K42,recall,5,4,0.044666666666666674,0.09570208403628881,-0.07416316563426455,0.16349649896759788,True
logistic_regression,BGWO,K42,precision,5,4,0.00019058333085492096,0.003927074618879948,-0.004685523841668088,0.00506669050337793,True
logistic_regression,BGWO,K42,roc_auc,5,4,-0.0034985380116959062,0.015552229099546335,-0.022809180976419572,0.015812104953027758,True
logistic_regression,BGWO,MI-K11,average_precision,5,4,-0.0003603629387387092,0.0040669749525060195,-0.005410179318861907,0.004689453441384488,True
logistic_regression,BGWO,MI-K11,f1,5,4,-0.0039715247382381,0.006085540624779554,-0.011527721441633328,0.003584671965157128,True
logistic_regression,BGWO,MI-K11,recall,5,4,-0.041999999999999996,0.06384007797266192,-0.1212679264611756,0.037267926461175604,True
logistic_regression,BGWO,MI-K11,precision,5,4,-0.0018921932284161613,0.002958063900239278,-0.005565114677729491,0.0017807282208971683,True
logistic_regression,BGWO,MI-K11,roc_auc,5,4,-0.010144269005847972,0.01731493795269073,-0.031643604092836085,0.01135506608114014,True
logistic_regression,BGWO,BPSO-K10,average_precision,5,4,7.854701549530052e-05,0.003897407221514812,-0.004760723217799014,0.0049178172487896145,True
logistic_regression,BGWO,BPSO-K10,f1,5,4,0.0015458819165383498,0.0075095864339889806,-0.007778501199945173,0.010870265033021872,True
logistic_regression,BGWO,BPSO-K10,recall,5,4,-1.1102230246251566e-17,0.11513277359447027,-0.142956219985599,0.142956219985599,True
logistic_regression,BGWO,BPSO-K10,precision,5,4,0.001065759939176869,0.0035030957753204345,-0.0032839079672982254,0.005415427845651964,True
