stage,comparison_tier,classifier,phase,metric,unit,candidate_configuration_id,reference_configuration_id,candidate_mean,reference_mean,mean_difference,std_difference,mean_percent_change,ci95_low,ci95_high,n,df,t_critical,aggregation_hierarchy
V0.9-F,primary,decision_tree,training,absolute_peak_rss_mib,MiB,BGWO,K43,157.32421875,166.72390625,-9.399687499999999,0.0740954979891942,-5.637860460972651,-9.491689208796272,-9.307685791203726,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,incremental_peak_rss_mib,MiB,BGWO,K43,3.02,0.14750000000000002,2.8725,0.013693063937629165,1972.229437229437,2.855497816127746,2.889502183872254,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,inference_latency_sec,seconds,BGWO,K43,0.04078319528169232,0.09820005996123655,-0.05741686467954423,0.009386721175016238,-58.21397279316609,-0.06907201798213224,-0.04576171137695623,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,per_record_latency_sec,seconds,BGWO,K43,1.4565426886318684e-06,3.507144998615591e-06,-2.0506023099837226e-06,3.352400419648654e-07,-58.21397279316608,-2.466857785076151e-06,-1.634346834891294e-06,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,process_cpu_time_sec,seconds,BGWO,K43,0.04204234312,0.10142738927999999,-0.05938504615999999,0.010502250068427978,-58.250884896488266,-0.07242531147601239,-0.04634478084398758,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,throughput_records_sec,records/second,BGWO,K43,705887.2422991139,290232.4702701735,415654.7720289404,47087.61049425271,144.58224738127765,357187.7835320633,474121.76052581746,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,training,wall_time_sec,seconds,BGWO,K43,0.04078319528169232,0.09820005996123655,-0.05741686467954423,0.009386721175016238,-58.21397279316609,-0.06907201798213224,-0.04576171137695623,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,absolute_peak_rss_mib,MiB,BGWO,K43,154.792421875,156.853203125,-2.0607812499999967,0.10735956999964523,-1.313804859089278,-2.194085757880367,-1.9274767421196262,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,incremental_peak_rss_mib,MiB,BGWO,K43,0.4325,0.4125,0.019999999999999997,0.03137475099502784,5.498949579831932,-0.018956897287080915,0.05895689728708091,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,inference_latency_sec,seconds,BGWO,K43,0.002057713424373446,0.0029097659087500465,-0.0008520524843765998,0.0002985610015358248,-28.69264226138291,-0.001222764917205226,-0.00048134005154797354,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,per_record_latency_sec,seconds,BGWO,K43,3.429522373955744e-07,4.849609847916744e-07,-1.4200874739609994e-07,4.976016692263745e-08,-28.692642261382918,-2.0379415286753763e-07,-8.022334192466224e-08,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,process_cpu_time_sec,seconds,BGWO,K43,1.08095392396,1.5358476068600002,-0.45489368290000004,0.16160890707634953,-29.00160301993959,-0.655557637002727,-0.2542297287972731,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,throughput_records_sec,records/second,BGWO,K43,2955661.5948137613,2141576.789995687,814084.804818074,179971.5642040675,38.725525773194484,590620.6013123874,1037549.0083237606,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
V0.9-F,primary,decision_tree,inference,wall_time_sec,seconds,BGWO,K43,1.0535492732792044,1.4898001452800238,-0.4362508720008191,0.15286323278634228,-28.69264226138291,-0.6260556376090757,-0.24644610639256245,5,4,2.7764451051977987,ten_repetitions_aggregated_within_seed_before_five_seed_scientific_pairing
