stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V0.9-F,decision_tree,BGWO,inference,absolute_peak_rss_mib,MiB,5,154.792421875,0.043356383624289487,154.73984375,154.843359375,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,incremental_peak_rss_mib,MiB,5,0.4325,0.014252192813739238,0.4125,0.45,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,inference_latency_sec,seconds,5,0.002057713424373446,6.658539216630837e-05,0.0019545791078058984,0.0021289639136767846,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,monotonic_elapsed_sec,seconds,5,13.482937056280496,0.6992469877360185,12.94087541140325,14.473077493801247,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,per_record_latency_sec,seconds,5,3.429522373955744e-07,1.1097565361051402e-08,3.257631846343164e-07,3.548273189461308e-07,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,process_cpu_time_sec,seconds,5,1.08095392396,0.03594083523661818,1.0253004856,1.1191997391000001,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,standby_gap_sec,seconds,5,9.711013990454376e-07,8.704133579721611e-08,8.903152775019407e-07,1.0841627954505385e-06,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,throughput_records_sec,records/second,5,2955661.5948137613,103926.60817382585,2846313.1680390807,3114553.3685156293,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,wall_clock_elapsed_sec,seconds,5,13.482938027381897,0.6992469987278036,12.94087631702423,14.473078536987305,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V0.9-F,decision_tree,BGWO,inference,wall_time_sec,seconds,5,1.0535492732792044,0.03409172078914988,1.00074450319662,1.0900295238025137,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
