classifier,configuration_id,feature_count,training_wall_time_sec,training_cpu_time_sec,training_absolute_rss_mib,training_input_memory_bytes,inference_latency_per_record_sec,inference_throughput_records_sec,inference_absolute_rss_mib,inference_input_memory_bytes,serialized_model_bytes
decision_tree,K43,43,13.14972110748291,0.10142738927999999,166.72390625,9632132.0,4.849609847916744e-07,2141576.789995687,156.853203125,2064132.0,4436.0
decision_tree,K42,42,13.453627700805663,0.10057874034000006,166.3803125,9408132.0,4.595088029873295e-07,2214310.0815006616,156.77703125,2016132.0,4420.0
decision_tree,MI-K11,11,13.427421298027038,0.05157506139999997,156.39265625000002,2464132.0,3.674548501040439e-07,2876241.275259992,154.64671875,528132.0,3700.0
decision_tree,BPSO-K10,10,12.915536646842957,0.03756010975999999,156.154453125,2240132.0,3.4369611951168127e-07,3011769.926277959,154.5571875,480132.0,3732.0
decision_tree,BGWO,14,12.623808016777039,0.04204234312,157.32421875,3136132.0,3.429522373955744e-07,2955661.5948137613,154.792421875,672132.0,3812.0
logistic_regression,K43,43,13.236930279731752,0.24965860184,182.445546875,9632132.0,4.291786975584463e-07,2440568.560560951,155.93328125,2064132.0,2358.0
logistic_regression,K42,42,12.870802545547486,0.22676638514,181.59375,9408132.0,4.150608060351147e-07,2481873.5271298923,155.85289062500001,2016132.0,2326.0
logistic_regression,MI-K11,11,12.715085468292235,0.0377346147,164.45960937499999,2464132.0,3.2052760488937794e-07,3258592.00086445,154.203984375,528132.0,1366.0
logistic_regression,BPSO-K10,10,12.46888243675232,0.04947482230000001,161.633671875,2240132.0,3.214985763538417e-07,3293038.801058783,154.165703125,480132.0,1382.0
logistic_regression,BGWO,14,12.21513337135315,0.07157113415999997,164.833671875,3136132.0,3.3398851126946737e-07,3131517.2694252087,154.377734375,672132.0,1494.0
