scenario_id,attack_type,attack_rate,attack_severity,configuration_id,comparison_type,classifier,reference_classifier,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,reference_configuration_id
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.7415256328858536,0.007571591427469091,-0.7509270053704576,-0.7321242604012496,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.40708517162480107,0.2600375520872603,-0.729964438232845,-0.08420590501675723,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,-0.4133333333333333,0.0862489935529041,-0.520425603509368,-0.3062410631572986,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.7415258768689397,0.00757044451968605,-0.7509258252794403,-0.732125928458439,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.40708517162480107,0.2600375520872603,-0.729964438232845,-0.08420590501675723,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,-0.4133333333333333,0.0862489935529041,-0.520425603509368,-0.3062410631572986,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.7423473384374873,0.01163141144307127,-0.7567896432746557,-0.727905033600319,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.4270250031122066,0.2755190070375689,-0.7691270349718773,-0.0849229712525359,
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,-0.3513333333333334,0.07093032575077539,-0.43940496519900657,-0.2632617014676602,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.02996127875058378,0.02905825918630201,-0.06604187303271747,0.006119315531549912,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.03622961915099333,0.046685658261307605,-0.09419752024654919,0.021738281944562537,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.18666666666666668,0.13230856191326226,0.02238388868472463,0.3509494446486087,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.0299617254725419,0.02905655488636822,-0.06604020358680565,0.006116752641721856,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.03622961915099333,0.046685658261307605,-0.09419752024654919,0.021738281944562537,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.18666666666666668,0.13230856191326226,0.02238388868472463,0.3509494446486087,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.044221549392199556,0.044562251416066796,-0.09955289265447838,0.011109793870079265,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,-0.044803243944309915,0.04178000594229759,-0.09667997316764139,0.00707348527902156,
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.24800000000000005,0.10385887861259943,0.11904216953281796,0.3769578304671821,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.002889711209767462,0.004731719505665238,-0.002985494550020245,0.00876491696955517,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.03987380645047035,0.042279727637743784,-0.012623409211218503,0.09237102211215921,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,none_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.282,0.13831525986351292,0.1102589214251414,0.45374107857485857,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,0.002888933249872938,0.004733816693581207,-0.002988876512647499,0.008766743012393375,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.03987380645047035,0.042279727637743784,-0.012623409211218503,0.09237102211215921,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,pairwise_correlation_filter_natural,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.282,0.13831525986351292,0.1102589214251414,0.45374107857485857,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,average_precision,5,-0.00021795812430145945,0.004639339128565374,-0.005978458495703687,0.005542542247100768,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,f1,5,0.04304891529744494,0.039827016143615106,-0.006402856804001357,0.09250068739889122,
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,mutual_information_select_k_best_k11,logistic_regression_minus_decision_tree,logistic_regression,decision_tree,recall,5,0.3473333333333333,0.1292370775831078,0.18686430686519412,0.5078023598014725,
