classifier,configuration_id,scenario_id,attack_type,attack_rate,attack_severity,metric,count,mean,std,min,max,ci95_low,ci95_high
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_count,5,43.0,0.0,43.0,43.0,43.0,43.0
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,source_block_count,5,10.0,0.0,10.0,10.0,10.0,10.0
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_input_bytes,5,2064132.0,0.0,2064132.0,2064132.0,2064132.0,2064132.0
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_wall_time_sec,0,,,,,,
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_cpu_time_sec,0,,,,,,
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_peak_rss_mib,0,,,,,,
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,combined_fit_wall_time_sec,0,,,,,,
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_wall_time_sec,5,0.0025672485398536083,0.0004409331879279095,0.002018935499654617,0.003236928899423219,0.0020197576747898733,0.003114739404917343
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,per_record_inference_sec,5,4.2787475664226805e-07,7.348886465465162e-08,3.3648924994243617e-07,5.394881499038699e-07,3.366262791316455e-07,5.191232341528905e-07
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_cpu_time_sec,5,0.0026238665600010337,0.00041639215964774616,0.0021501650999994127,0.0032812785000032817,0.002106847406231702,0.0031408857137703652
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_peak_rss_mib,5,802.45625,2.1242645786248002,798.65625,803.40625,799.8186271500599,805.09387284994
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,peak_rss_mib,5,802.45625,2.1242645786248002,798.65625,803.40625,799.8186271500599,805.09387284994
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,serialized_model_bytes,5,4132.0,327.90242451070714,3780.0,4420.0,3724.8553645610036,4539.144635438996
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,serialized_model_kib,5,4.03515625,0.32021721143623744,3.69140625,4.31640625,3.637554066954105,4.432758433045895
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_count,5,43.0,0.0,43.0,43.0,43.0,43.0
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,source_block_count,5,10.0,0.0,10.0,10.0,10.0,10.0
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_input_bytes,5,2064132.0,0.0,2064132.0,2064132.0,2064132.0,2064132.0
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_wall_time_sec,5,0.49001829079934395,0.09719446902817075,0.4144513709979947,0.6605000540002948,0.3693354177824376,0.6107011638162503
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_cpu_time_sec,5,0.29261962500000005,0.07522294968955433,0.21856836799999968,0.4180874179999998,0.19921799653171318,0.3860212534682869
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_peak_rss_mib,5,182.0546875,0.12530480415894876,181.8984375,182.19140625,181.89910103587374,182.21027396412626
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,combined_fit_wall_time_sec,5,0.49001829079934395,0.09719446902817075,0.4144513709979947,0.6605000540002948,0.3693354177824376,0.6107011638162503
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_wall_time_sec,5,0.0023602063399448523,0.00038247991810720123,0.0018057211993436795,0.0028665278005064465,0.0018852947955948392,0.0028351178842948655
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,per_record_inference_sec,5,3.9336772332414207e-07,6.374665301786687e-08,3.009535332239466e-07,4.777546334177411e-07,3.1421579926580653e-07,4.725196473824776e-07
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_cpu_time_sec,5,0.002425031760001275,0.0004445044693840442,0.0018058472999996412,0.0030455148000044117,0.0018731065633260011,0.0029769569566765485
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_peak_rss_mib,5,802.63125,1.7329526825623371,799.53125,803.40625,800.47950504347,804.78299495653
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,peak_rss_mib,5,802.63125,1.7329526825623371,799.53125,803.40625,800.47950504347,804.78299495653
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,serialized_model_bytes,5,2342.0,0.0,2342.0,2342.0,2342.0,2342.0
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,serialized_model_kib,5,2.287109375,0.0,2.287109375,2.287109375,2.287109375,2.287109375
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_count,5,42.0,0.0,42.0,42.0,42.0,42.0
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,source_block_count,5,9.0,0.0,9.0,9.0,9.0,9.0
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_input_bytes,5,2016132.0,0.0,2016132.0,2016132.0,2016132.0,2016132.0
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_wall_time_sec,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_cpu_time_sec,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,model_fit_peak_rss_mib,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,combined_fit_wall_time_sec,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_wall_time_sec,5,0.0024593082199862695,0.0003997845281156922,0.00199813310027821,0.002942085199902067,0.0019629101643857394,0.0029557062755867997
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,per_record_inference_sec,5,4.098847033310449e-07,6.663075468594869e-08,3.3302218337970166e-07,4.903475333170111e-07,3.271516940642899e-07,4.926177125977999e-07
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,inference_cpu_time_sec,5,0.002505475860000388,0.00039148290212138613,0.002090463600001158,0.0029982582000002366,0.002019385634523548,0.0029915660854772275
