scenario_id,attack_type,attack_rate,attack_severity,classifier,comparison_type,configuration_id,reference_configuration_id,metric,paired_seed_count,mean_difference,std_difference,ci95_low,ci95_high,baseline_mean,configuration_mean,margin_percent,relative_degradation_percent,descriptively_preserved,rate_scenario,selection_performed,scenario_configuration_preserved
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.7955115478100214,0.7955115478100214,5.0,0.0,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.4976248126949982,0.4976248126949982,5.0,0.0,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.8466666666666667,0.8466666666666667,10.0,0.0,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.00216014241457827,0.004076844669197978,-0.007222213666594356,0.0029019288374378164,0.7955115478100214,0.7933514053954431,5.0,0.27154130201189264,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,0.01845640504225085,0.1337297862573898,-0.1475910560411665,0.18450386612566821,0.4976248126949982,0.5160812177372491,5.0,0.0,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.004666666666666664,0.01043498389499901,-0.01762341049093332,0.008290077157599992,0.8466666666666667,0.842,10.0,0.5511811023622096,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,-2.4398308614420605e-07,3.445615542023086e-06,-4.522279856329021e-06,4.034313684040609e-06,0.0539859149241679,0.053985670941081754,5.0,0.0004519384111335715,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.09053964107019721,0.09053964107019721,5.0,0.0,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.4333333333333333,0.4333333333333333,10.0,0.0,True,False,False,True
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.002981847966212134,0.0036883291965616257,-0.007561513543110159,0.0015978176106858913,0.0539859149241679,0.051004066957955764,5.0,5.523381367900553,False,False,False,False
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.001483426445154662,0.005068568013035099,-0.007776884869392533,0.00481003197908321,0.09053964107019721,0.08905621462504255,5.0,1.6384275745079757,True,False,False,False
quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.057333333333333326,0.028905977851571736,0.02144182130213279,0.09322484536453386,0.4333333333333333,0.49066666666666664,10.0,0.0,True,False,False,False
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.08636274452741091,0.08636274452741091,5.0,0.0,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.1256740424064138,0.1256740424064138,5.0,0.0,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.242,0.242,10.0,0.0,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,0.011035675883541077,0.018434047068014575,-0.011853216702024468,0.033924568469106624,0.08636274452741091,0.097398420410952,5.0,0.0,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,0.006622471660203047,0.015582790701166664,-0.012726118544995366,0.02597106186540146,0.1256740424064138,0.13229651406661685,5.0,0.0,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.00866666666666666,0.03313272970610447,-0.04980638430498566,0.032473050971652345,0.242,0.23333333333333334,10.0,3.5812672176308498,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,-4.4672195811806816e-07,2.2028708110958526e-06,-3.1819473369518873e-06,2.288503420715751e-06,0.05640146577682713,0.056401019054869016,5.0,0.0007920396251404788,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.08944442325542049,0.08944442325542049,5.0,0.0,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.4286666666666667,0.4286666666666667,10.0,0.0,True,False,False,True
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0032245947580746863,0.0037259537841220366,-0.007850977430793774,0.0014017879146444026,0.05640146577682713,0.053176871018752445,5.0,5.717218007833277,False,False,False,False
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.001951153133113545,0.0040738843832050335,-0.007009548704587803,0.003107242438360713,0.08944442325542049,0.08749327012230693,5.0,2.1814139575161446,True,False,False,False
value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,0.05266666666666666,0.0313935591412563,0.013686414505457059,0.09164691882787626,0.4286666666666667,0.48133333333333334,10.0,0.0,True,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,0.0,0.0,0.0,0.0,0.04983721662591921,0.04983721662591921,5.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.04995313683609929,0.04995313683609929,5.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.14933333333333332,0.14933333333333332,10.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,average_precision,5,-0.0001796981463113731,0.0005789017902844936,-0.0008984996578039056,0.0005391033651811594,0.04983721662591921,0.04965751847960783,5.0,0.36057018926278017,True,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,f1,5,-0.0042273660445444755,0.02534590064024255,-0.0356984583716084,0.027243726282519448,0.04995313683609929,0.04572577079155481,5.0,8.462663833133941,False,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,decision_tree,reduced_minus_full_baseline,mutual_information_select_k_best_k11,none_natural,recall,5,-0.007333333333333333,0.021653842358548954,-0.03422012981274462,0.019553463146077952,0.14933333333333332,0.142,10.0,4.910714285714285,True,False,False,False
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,average_precision,5,-7.779598945240052e-07,2.6529321757132547e-06,-4.072010266786154e-06,2.5160904777381435e-06,0.052726927835686666,0.05272614987579214,5.0,0.0014754508302659989,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,f1,5,0.0,0.0,0.0,0.0,0.08982694328656964,0.08982694328656964,5.0,0.0,True,False,False,True
shipping_delivery_manipulation__r0p05__medium,shipping_delivery_manipulation,0.05,MEDIUM,logistic_regression,reduced_minus_full_baseline,pairwise_correlation_filter_natural,none_natural,recall,5,0.0,0.0,0.0,0.0,0.43133333333333335,0.43133333333333335,10.0,0.0,True,False,False,True
