classifier,configuration_id,scenario_id,attack_type,attack_rate,attack_severity,metric,count,mean,std,min,max,ci95_low,ci95_high
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.8466666666666667,0.10501322668015577,0.77,1.0,0.7162755237626026,0.9770578095707307
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
decision_tree,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.4976248126949983,0.26499892658075963,0.22404779686333084,0.8498168498168498,0.16858518599676503,0.8266644393932316
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.4333333333333333,0.049721446300587654,0.38,0.51,0.3715960035232228,0.4950706631434438
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
logistic_regression,none_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.09053964107019721,0.008688436099149982,0.08153180975911056,0.10201342281879194,0.07975152276518016,0.10132775937521427
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.8466666666666667,0.10501322668015577,0.77,1.0,0.7162755237626026,0.9770578095707307
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
decision_tree,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.4976248126949983,0.26499892658075963,0.22404779686333084,0.8498168498168498,0.16858518599676503,0.8266644393932316
logistic_regression,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
logistic_regression,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.4333333333333333,0.049721446300587654,0.38,0.51,0.3715960035232228,0.4950706631434438
logistic_regression,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
logistic_regression,pairwise_correlation_filter_natural,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.09053964107019721,0.008688436099149982,0.08153180975911056,0.10201342281879194,0.07975152276518016,0.10132775937521427
decision_tree,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
decision_tree,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.842,0.10933130079411539,0.7533333333333333,1.0,0.7062472599270524,0.9777527400729475
decision_tree,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
decision_tree,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.5160812177372491,0.27510763041804115,0.2249718785151856,0.8417132216014898,0.17448997741574918,0.8576724580587491
logistic_regression,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
logistic_regression,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
logistic_regression,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
logistic_regression,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.49066666666666664,0.06134601318205882,0.41333333333333333,0.5633333333333334,0.41449553066511013,0.5668378026682231
logistic_regression,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
logistic_regression,mutual_information_select_k_best_k11,quantity_manipulation__r0p05__medium,quantity_manipulation,0.05,MEDIUM,visible_attack_f1,5,0.08905621462504257,0.005248901307794379,0.08281573498964803,0.09481065918653576,0.08253884284102446,0.09557358640906068
decision_tree,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_feature_attack_count,5,300.0,0.0,300.0,300.0,300.0,300.0
decision_tree,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_feature_attack_count,5,0.0,0.0,0.0,0.0,0.0,0.0
decision_tree,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,selected_feature_visibility_rate,5,1.0,0.0,1.0,1.0,1.0,1.0
decision_tree,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,visible_attack_recall,5,0.242,0.16922371780181011,0.05,0.44666666666666666,0.031881001963131955,0.45211899803686806
decision_tree,none_natural,value_manipulation__r0p05__medium,value_manipulation,0.05,MEDIUM,invisible_attack_recall,0,,,,,,
