calibration_id,environment_id,classifier,configuration_id,seed,phase,candidate_order,inner_operation_count,wall_time_sec,target_duration_sec,target_reached,selected_for_anchor,frozen_for_main_matrix,worker_pid,warmup_calls,measurement_kind,measurement_scope,time_unit,workload_sha256,model_sha256,excluded_from_main_observations
v07d_calibration__decision_tree__none_natural__s42__n1,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,1,1,0.004664129999582656,1.0,False,False,False,6901,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n2,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,2,2,0.005824423000376555,1.0,False,False,False,6904,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n4,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,3,4,0.02192633100094099,1.0,False,False,False,6907,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n8,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,4,8,0.020791450999240624,1.0,False,False,False,6911,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n16,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,5,16,0.044442546000937,1.0,False,False,False,6914,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n32,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,6,32,0.09421695499986527,1.0,False,False,False,6917,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n64,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,7,64,0.1941645629995037,1.0,False,False,False,6920,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n128,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,8,128,0.35105451900017215,1.0,False,False,False,6923,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__none_natural__s42__n256,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,inference,9,256,1.3706343390003894,1.0,True,True,False,6926,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n1,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,1,1,0.006353349999699276,1.0,False,False,False,6929,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n2,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,2,2,0.009945735000655986,1.0,False,False,False,6932,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n4,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,3,4,0.017743600999892806,1.0,False,False,False,6935,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n8,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,4,8,0.02668399899994256,1.0,False,False,False,6939,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n16,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,5,16,0.05436689599991951,1.0,False,False,False,6943,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n32,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,6,32,0.13116916000035417,1.0,False,False,False,6946,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n64,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,7,64,0.5594766139984131,1.0,False,False,False,6949,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n128,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,8,128,0.2694341330006864,1.0,False,False,False,6955,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n256,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,9,256,0.7819872140007647,1.0,False,False,False,6967,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
v07d_calibration__decision_tree__pairwise_correlation_filter_natural__s42__n512,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,pairwise_correlation_filter_natural,42,inference,10,512,1.4967867209998076,1.0,True,True,True,6970,3,DIRECT_COMPUTATIONAL,prediction_only_calibration,seconds,8218a521bbf219f46806866ed0abbbf6dfbdab3a330e52df2b62a5aaba3ccdd8,b3be72469205a79a9108a40d882b3664ddfa94c799065684a04dd89542f3f6a2,True
