observation_id,schema_version,stage,environment_id,classifier,configuration_id,seed,phase,outer_repetition,inner_operation_count,measured_operation_count,record_count,measured_record_count,feature_count,warmup_calls,worker_pid,wall_time_sec,process_cpu_time_sec,start_rss_mib,end_rss_mib,absolute_peak_rss_mib,incremental_peak_rss_mib,selected_input_bytes,numpy_dense_nbytes,serialized_model_bytes,per_operation_latency_sec,per_record_latency_sec,throughput_records_sec,time_unit,rss_unit,size_unit,throughput_unit,measurement_kind,measurement_scope,measurement_provenance,derived_measurement_provenance,workload_sha256,model_sha256,feature_manifest_sha256,v06_lock_sha256,status,failure_type,failure_stage,failure_reason
v07d__training__decision_tree__none_natural__s42__r01,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,1,1,1,28000,28000,43,3,7120,0.16392486399854533,0.17496703700000005,167.03125,167.15625,167.15625,0.125,9632132,9632000,3780,0.16392486399854533,5.854459428519476e-06,170809.96327834972,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r02,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,2,1,1,28000,28000,43,3,7123,0.1300803829999495,0.13688040200000007,166.77734375,166.90234375,166.90234375,0.125,9632132,9632000,3780,0.1300803829999495,4.645727964283911e-06,215251.51874753373,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r03,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,3,1,1,28000,28000,43,3,7126,0.13542761099961353,0.14104429899999982,166.9921875,167.1171875,167.1171875,0.125,9632132,9632000,3780,0.13542761099961353,4.83670039284334e-06,206752.5210946821,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r04,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,4,1,1,28000,28000,43,3,7136,0.11829979300091509,0.12371423299999984,167.046875,167.171875,167.171875,0.125,9632132,9632000,3780,0.11829979300091509,4.2249926071755384e-06,236686.80468260337,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r05,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,5,1,1,28000,28000,43,3,7139,0.15398344900131633,0.16344654999999975,166.72265625,166.84765625,166.84765625,0.125,9632132,9632000,3780,0.15398344900131633,5.499408892904155e-06,181837.7246489695,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r06,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,6,1,1,28000,28000,43,3,7142,0.12565474700022605,0.13081989199999988,166.83984375,166.96484375,166.96484375,0.125,9632132,9632000,3780,0.12565474700022605,4.487669535722359e-06,222832.80710397378,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r07,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,7,1,1,28000,28000,43,3,7145,0.1899727920008445,0.2030483950000006,166.73046875,166.85546875,166.85546875,0.125,9632132,9632000,3780,0.1899727920008445,6.784742571458732e-06,147389.52723227613,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r08,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,8,1,1,28000,28000,43,3,7148,0.111895984999137,0.117422747,166.8203125,166.9453125,166.9453125,0.125,9632132,9632000,3780,0.111895984999137,3.996285178540607e-06,250232.39216506248,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r09,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,9,1,1,28000,28000,43,3,7151,0.12788421000004746,0.13336340000000035,166.91015625,167.03515625,167.03515625,0.125,9632132,9632000,3780,0.12788421000004746,4.567293214287409e-06,218948.06246986715,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
v07d__training__decision_tree__none_natural__s42__r10,v0.7-d-tier1-computational-1,V0.7-D,5b390d6532854ad704f8fe56280d2ea9b6cfebd95ced1b804d0e0ec3e1ecf82e,decision_tree,none_natural,42,training,10,1,1,28000,28000,43,3,7154,0.13603522700032045,0.14238012499999986,166.8984375,167.0234375,167.0234375,0.125,9632132,9632000,3780,0.13603522700032045,4.858400964297159e-06,205829.03867932712,seconds,MiB,bytes,records/second,DIRECT_COMPUTATIONAL,model.fit_only_data_loading_selection_serialization_excluded,DIRECT_COMPUTATIONAL,DERIVED,c36faf12e3da995a79953d2c367b051e998d0f28e421c90215559e9dbc54079a,e01fdbbeaf4805602efe812b6e075aecf8b9be71788e464fd8d5b7e72ea92c49,5146fd08fe766979adaf443bf9f4f7d32ee3c94cfdaf0fd46ec0efd10e92a10d,71dc92b8a34db1bb3c2f55a69e56f43733544329128ec60c5cdbbce2445d1604,SUCCESS,,,
