classifier,candidate_configuration_id,reference_configuration_id,metric,n,df,mean_difference,std_difference,ci95_low,ci95_high,direction_uncertain
decision_tree,HYBRID-K13,K43,average_precision,5,4,0.002370530541690613,0.010098350598318722,-0.010168227837481208,0.014909288920862435,True
decision_tree,HYBRID-K13,K43,f1,5,4,0.002581051494268752,0.038668620259284865,-0.04543238214189806,0.05059448513043557,True
decision_tree,HYBRID-K13,K43,recall,5,4,-0.009333333333333327,0.02509980079602226,-0.0404988523438404,0.02183218567717375,True
decision_tree,HYBRID-K13,K43,precision,5,4,0.027886763814806557,0.3829334142601753,-0.4475878703813019,0.503361398010915,True
decision_tree,HYBRID-K13,K43,roc_auc,5,4,-0.0007966666666667122,0.003103142072745181,-0.004649726459705817,0.0030563931263723927,True
decision_tree,HYBRID-K13,K42,average_precision,5,4,0.002370530541690613,0.010098350598318722,-0.010168227837481208,0.014909288920862435,True
decision_tree,HYBRID-K13,K42,f1,5,4,0.002581051494268752,0.038668620259284865,-0.04543238214189806,0.05059448513043557,True
decision_tree,HYBRID-K13,K42,recall,5,4,-0.009333333333333327,0.02509980079602226,-0.0404988523438404,0.02183218567717375,True
decision_tree,HYBRID-K13,K42,precision,5,4,0.027886763814806557,0.3829334142601753,-0.4475878703813019,0.503361398010915,True
decision_tree,HYBRID-K13,K42,roc_auc,5,4,-0.0007966666666667122,0.003103142072745181,-0.004649726459705817,0.0030563931263723927,True
decision_tree,HYBRID-K13,MI-K11,average_precision,5,4,-0.00048681290094225725,0.002663376010265246,-0.0037938310065681984,0.002820205204683684,True
decision_tree,HYBRID-K13,MI-K11,f1,5,4,-0.0005350297334980936,0.0012737667425633565,-0.0021166200398482988,0.0010465605728521114,True
decision_tree,HYBRID-K13,MI-K11,recall,5,4,-0.003999999999999992,0.0059628479399994275,-0.011403853613860775,0.0034038536138607904,True
decision_tree,HYBRID-K13,MI-K11,precision,5,4,-0.00019809717903779555,0.0007781153069628933,-0.0011642549421448927,0.0007680605840693015,True
decision_tree,HYBRID-K13,MI-K11,roc_auc,5,4,-0.002758187134502954,0.0038670398293558813,-0.007559751270234189,0.002043377001228281,True
decision_tree,HYBRID-K13,BPSO-K10,average_precision,5,4,0.004842861977864293,0.005437705113391853,-0.0019089406942829007,0.011594664650011487,True
decision_tree,HYBRID-K13,BPSO-K10,f1,5,4,0.004327599516438243,0.004219226500600914,-0.0009112621296251738,0.00956646116250166,True
decision_tree,HYBRID-K13,BPSO-K10,recall,5,4,-0.0026666666666666505,0.016898389140848763,-0.023648788090496035,0.018315454757162734,True
decision_tree,HYBRID-K13,BPSO-K10,precision,5,4,0.047397421452710455,0.09417648183045586,-0.06953812551365776,0.16433296841907866,True
decision_tree,HYBRID-K13,BPSO-K10,roc_auc,5,4,0.002827076023391761,0.009788172844342411,-0.009326545805623972,0.014980697852407493,True
decision_tree,HYBRID-K13,BGWO-K14,average_precision,5,4,-0.0015802954735721687,0.0043061159581526814,-0.0069270446309010695,0.0037664536837567326,True
decision_tree,HYBRID-K13,BGWO-K14,f1,5,4,0.011869001311610547,0.026816942116582046,-0.021428630256463695,0.04516663287968479,True
decision_tree,HYBRID-K13,BGWO-K14,recall,5,4,-0.011999999999999988,0.022186081723058314,-0.03954765893672808,0.015547658936728105,True
decision_tree,HYBRID-K13,BGWO-K14,precision,5,4,0.12176669737716281,0.27118875304873535,-0.21495861400122382,0.4584920087555494,True
decision_tree,HYBRID-K13,BGWO-K14,roc_auc,5,4,-0.0030137426900585184,0.003607615942353643,-0.007493189525024991,0.001465704144907954,True
logistic_regression,HYBRID-K13,K43,average_precision,5,4,0.0014564457183795898,0.002433721306186601,-0.0015654184091737583,0.004478309845932938,True
logistic_regression,HYBRID-K13,K43,f1,5,4,0.001396422598531777,0.004259586868129879,-0.003892553062846629,0.006685398259910182,True
logistic_regression,HYBRID-K13,K43,recall,5,4,0.03400000000000001,0.063657067339159,-0.04504068874626655,0.11304068874626658,True
logistic_regression,HYBRID-K13,K43,precision,5,4,0.0003214427761000532,0.002447964564311028,-0.0027181066922835192,0.0033609922444836253,True
logistic_regression,HYBRID-K13,K43,roc_auc,5,4,-0.0005705263157894768,0.016037010141873448,-0.020483104447782414,0.01934205181620346,True
logistic_regression,HYBRID-K13,K42,average_precision,5,4,0.0014562835586826681,0.0024344878108198092,-0.001566532310078191,0.004479099427443527,True
logistic_regression,HYBRID-K13,K42,f1,5,4,0.001396422598531777,0.004259586868129879,-0.003892553062846629,0.006685398259910182,True
logistic_regression,HYBRID-K13,K42,recall,5,4,0.03400000000000001,0.063657067339159,-0.04504068874626655,0.11304068874626658,True
logistic_regression,HYBRID-K13,K42,precision,5,4,0.0003214427761000532,0.002447964564311028,-0.0027181066922835192,0.0033609922444836253,True
logistic_regression,HYBRID-K13,K42,roc_auc,5,4,-0.0005694736842105196,0.016037151483431895,-0.02048222731492803,0.019343279946506992,True
logistic_regression,HYBRID-K13,MI-K11,average_precision,5,4,0.0014357251350999827,0.0020906208603026994,-0.001160123521031665,0.004031573791231631,True
logistic_regression,HYBRID-K13,MI-K11,f1,5,4,-0.0037126795938408814,0.0023503285142665413,-0.006630997893957394,-0.0007943612937243694,False
logistic_regression,HYBRID-K13,MI-K11,recall,5,4,-0.05266666666666666,0.048842149374854045,-0.11331220514031354,0.00797887180698021,True
logistic_regression,HYBRID-K13,MI-K11,precision,5,4,-0.001761333783171029,0.0016247925466434862,-0.0037787801928880604,0.0002561126265460021,True
logistic_regression,HYBRID-K13,MI-K11,roc_auc,5,4,-0.007215204678362586,0.017906899962774236,-0.02944955768157572,0.01501914832485055,True
logistic_regression,HYBRID-K13,BPSO-K10,average_precision,5,4,0.0018746350893339924,0.001577856578076009,-8.453261799197878e-05,0.0038338027966599636,True
logistic_regression,HYBRID-K13,BPSO-K10,f1,5,4,0.0018047270609355681,0.00690307946130131,-0.006766578182902119,0.010376032304773256,True
logistic_regression,HYBRID-K13,BPSO-K10,recall,5,4,-0.01066666666666668,0.05438545557203488,-0.07819512887637281,0.056861795543039446,True
logistic_regression,HYBRID-K13,BPSO-K10,precision,5,4,0.0011966193844220013,0.0037045048446241,-0.003403130912319181,0.005796369681163184,True
logistic_regression,HYBRID-K13,BPSO-K10,roc_auc,5,4,0.0035690058479531995,0.019742082274906095,-0.02094402696237441,0.028082038658280812,True
logistic_regression,HYBRID-K13,BGWO-K14,average_precision,5,4,0.001796088073838692,0.004578528121273706,-0.0038889054591103966,0.00748108160678778,True
logistic_regression,HYBRID-K13,BGWO-K14,f1,5,4,0.0002588451443972184,0.0041686724635434935,-0.00491724537388814,0.005434935662682577,True
logistic_regression,HYBRID-K13,BGWO-K14,recall,5,4,-0.010666666666666668,0.08892568682769775,-0.12108249051616186,0.09974915718282852,True
logistic_regression,HYBRID-K13,BGWO-K14,precision,5,4,0.00013085944524513226,0.0017778815744836187,-0.002076672098861005,0.0023383909893512694,True
logistic_regression,HYBRID-K13,BGWO-K14,roc_auc,5,4,0.002929064327485387,0.007371375436330062,-0.006223707169049231,0.012081835824020004,True
