stage,classifier,configuration_id,phase,metric,unit,seed_count,mean_of_seed_means,std_of_seed_means,min_of_seed_means,max_of_seed_means,feature_count,input_dataframe_memory_bytes,numpy_dense_nbytes,serialized_model_bytes,measurement_provenance,aggregation_hierarchy
V1.0-F,decision_tree,BGWO-K14,inference,absolute_peak_rss_mib,MiB,5,155.914609375,0.1555925131597471,155.749609375,156.151171875,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,incremental_peak_rss_mib,MiB,5,0.395,0.01895718861012887,0.375,0.425,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,inference_latency_sec,seconds,5,0.003550632198124219,0.0018449206303040083,0.0023283129193316654,0.00661819218066313,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,monotonic_elapsed_sec,seconds,5,19.18056962181887,5.530395527179661,14.613890895199438,26.046710943000654,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,per_record_latency_sec,seconds,5,5.917720330207033e-07,3.074867717173347e-07,3.8805215322194424e-07,1.1030320301105215e-06,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,process_cpu_time_sec,seconds,5,1.8618991732599999,0.9968597158411494,1.1960355656000001,3.5158528538,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,standby_gap_sec,seconds,5,7.915492460597306e-07,3.1567943644884567e-07,5.531677743420005e-07,1.3320539437700063e-06,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,throughput_records_sec,records/second,5,2143394.3645283557,688615.7784303295,1104309.9001628957,2774884.256885983,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,wall_clock_elapsed_sec,seconds,5,18.92693492412567,5.562721331017065,14.27766728401184,25.923379135131835,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
V1.0-F,decision_tree,BGWO-K14,inference,wall_time_sec,seconds,5,1.8179236854396001,0.9445993627156523,1.1920962146978127,3.3885143964995224,14,672132,672000,3172,DIRECT_COMPUTATIONAL,seeds_are_scientific_units_ten_repetitions_nested
